date,fpi_equity_net_cr,fpi_equity_net_usd_mn,fpi_total_net_cr,unit,source,source_url,fetched_at
2026-04-29,-1991.87,-210.74,-1112.37,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:34
2026-04-30,-1978.63,-208.74,-220.62,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:20:54
2026-05-04,-8024.14,-842.51,-6666.47,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:20:55
2026-05-05,2972.46,313.08,2907.82,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:20:55
2026-05-06,-3419.48,-358.58,-4091.36,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:17:58
2026-05-07,-5740.26,-603.19,-2410.14,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:17:59
2026-05-08,-19.82,-2.09,447.32,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:17:59
2026-05-11,-1381.03,-146.24,-1131.77,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:00
2026-05-12,-7822.29,-821.64,-7545.99,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:01
2026-05-13,-806.72,-84.42,346.37,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:02
2026-05-14,-3918.6,-409.67,-3579.5,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:03
2026-05-15,1111.53,116.09,-1830.0,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:03
2026-05-18,2219.43,231.37,3225.24,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:04
2026-05-19,2168.78,225.23,1376.14,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:05
2026-05-20,-3644.35,-378.26,-2255.43,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:06
2026-05-21,-2278.61,-235.29,-2495.35,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:07
2026-05-22,-1791.08,-185.95,-1340.23,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:08
2026-05-25,-5259.31,-548.08,-6176.8,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:10
2026-05-26,2194.68,230.52,2564.2,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:11
2026-05-27,-1029.89,-107.9,-1330.07,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:12
2026-05-29,1505.22,157.14,502.06,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:14
2026-06-01,-21949.48,-2301.16,-20043.15,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:15
2026-06-02,-3826.74,-403.28,-4066.34,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:16
2026-06-03,-8009.03,-841.55,-5395.89,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:17
2026-06-04,-5066.38,-528.96,-5528.83,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:18:18
